"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","5","0","2","2"
"","","Story Name: New User Registration-Negative","0","0","1","0","0"
"","","Story Name: New User Registration","0","0","1","0","0"
"","","Story Name: Scenarios related to Graph Representations Page","0","0","1","0","0"
"","","Story Name: To check the unsuccessful login scenario","0","0","2","0","0"
"","","Story Name: Scenarios related to Graph Page","0","0","1","0","0"
"","","Verify the Python code in Try Editor Page","0","1","0","0","0"
"","","Story Name: To check the successful login scenario","0","0","1","0","0"
